school,department_name,harvard_equivalent,nih_2018
Harvard,BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,BCMP,13289960
Harvard,BIOMEDICAL INFORMATICS,DBMI,14696873
Harvard,CELL BIOLOGY,CB,14983513
Harvard,GENETICS,Gn,22502523
Harvard,GLOBAL HEALTH AND SOCIAL MEDICINE,GHSM,6852034
Harvard,HEALTH CARE POLICY,HCP,4584507
Harvard,MICROBIOLOGY AND IMMUNOBIOLOGY,Mb;Imm,29961329
Harvard,IMMUNOLOGY,Imm,NA
Harvard,MICROBIOLOGY,Mb,NA
Harvard,NEUROBIOLOGY,Nb,24958119
Harvard,STEM CELL AND REGENERATIVE BIOLOGY,SCRB,14087620
Harvard,SYSTEMS BIOLOGY,SB,14295453
Southern Cal-Keck,BIOCHEMISTRY AND MOLECULAR MEDICINE,BCMP,NA
Southern Cal-Keck,INTEGRATIVE ANATOMICAL SCIENCE,NA,NA
Southern Cal-Keck,MEDICAL EDUCATION,NA,NA
Southern Cal-Keck,MOLECULAR MICROBIOLOGY AND IMMUNOLOGY,CB;Mb;Im,NA
Southern Cal-Keck,PHYSIOLOGY AND NEUROSCIENCE,Nb,18166319
Southern Cal-Keck,POPULATION AND PUBLIC HEALTH SCIENCES,GHSM,NA
Southern Cal-Keck,STEM CELL BIOLOGY AND REGENERATIVE MEDICINE,SCRB,NA
Southern Cal-Keck,TRANSLATIONAL GENOMICS,Gn,NA
Boston,ANATOMY AND NEUROBIOLOGY,Nb,5054274
Boston,BIOCHEMISTRY,CB;Nb;BCMP;Gn,8814901
Boston,MEDICAL SCIENCES AND EDUCATION,NA,NA
Boston,MICROBIOLOGY,Mb;Imm,15747951
Boston,PATHOLOGY AND LABORATORY MEDICINE,SCRB;CB,1713678
Boston,PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,BCM,14375519
Boston,PHYSIOLOGY AND BIOPHYSICS,CB,2497470
Case Western Reserve,ANATOMY,NA,NA
Case Western Reserve,BIOCHEMISTRY,BCMP;CB,NA
Case Western Reserve,BIOMEDICAL ENGINEERING,NA,NA
Case Western Reserve,GENETICS AND GENOME SCIENCES,Gn,NA
Case Western Reserve,MOLECULAR BIOL AND MICROBIOLOGY,Mb,NA
Case Western Reserve,MOLECULAR MEDICINE,BCMP,75211687
Case Western Reserve,NEUROSCIENCES,Nb,NA
Case Western Reserve,NUTRITION,NA,NA
Case Western Reserve,PATHOLOGY,Imm;CB,NA
Case Western Reserve,PHARMACOLOGY,BCMP,NA
Case Western Reserve,PHYSIOLOGY AND BIOPHYSICS,BCMP,NA
Case Western Reserve,POPULATION AND QUANTITATIVE HEALTH SCIENCES,SB,NA
Johns Hopkins,BIOLOGICAL CHEMISTRY,BCMP,4648204
Johns Hopkins,BIOMEDICAL ENGINEERING,NA,7885249
Johns Hopkins,BIOPHYSICS AND BIOPHYSICAL CHEMISTRY,BCMP,3105610
Johns Hopkins,MOLECULAR AND COMPARATIVE PATHOBIOLOGY,Mb,7842451
Johns Hopkins,CELL BIOLOGY,CB,12196695
Johns Hopkins,MOLECULAR BIOLOGY AND GENETICS,Gn,7560564
Johns Hopkins,NEUROSCIENCE,Nb,17329900
Johns Hopkins,PHARMACOLOGY AND MOLECULAR SCIENCES,BCMP,4287518
Johns Hopkins,PHYSIOLOGY,NA,7845963
Northwestern-Feinberg,BIOCHEMISTRY AND MOLECULAR GENETICS,BCMP;Gn,3639424
Northwestern-Feinberg,CELL AND DEVELOPMENTAL BIOLOGY,CB,NA
Northwestern-Feinberg,MICROBIOLOGY-IMMUNOLOGY,Mb;Imm,9555254
Northwestern-Feinberg,NEUROSCIENCE,Nb,NA
Northwestern-Feinberg,PHARMACOLOGY,BCMP,10455532
Drexel,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP;CB,4241244
Drexel,MICROBIOLOGY AND IMMUNOLOGY,Mb;Imm,4193682
Drexel,NEUROBIOLOGY AND ANATOMY,Nb,6919546
Drexel,PHARMACOLOGY AND PHYSIOLOGY,BCMP,3462288
George Washington,ANATOMY AND CELL BIOLOGY,CB,NA
George Washington,BIOCHEMISTRY AND MOLECULAR MEDICINE,BCMP,1808868
George Washington,GENOMICS AND PRECISION MEDICINE,Gn,NA
George Washington,MICROBIOLOGY IMMUNOLOGY AND TROPICAL MEDICINE,Mb;Imm,NA
George Washington,PATHOLOGY,NA,NA
George Washington,PHARMACOLOGY AND PHYSIOLOGY,BCMP,7701148
Georgetown,BIOCHEMISTRY MOLEC BIOLOGY AND CELL BIOLOGY,BCMP;Cb,1689670
Georgetown,BIOLOGY,NA,NA
Georgetown,BIOSTATISTICS BIOINFORMATICS AND BIOMATHEMATICS,DBMI;SB,NA
Georgetown,HUMAN SCIENCE,GHSM,NA
Georgetown,MICROBIOLOGY AND IMMUNOLOGY,Mb;Imm,NA
Georgetown,NEUROSCIENCE,Nb,3358390
Georgetown,ONCOLOGY,CB,17009610
Georgetown,PATHOLOGY,NA,NA
Georgetown,PHARMACOLOGY AND PHYSIOLOGY,BCMP,1640634
