school,department_name,harvard_equivalent,funding_type,year,funding_amount
Albany,REGENERATIVE AND CANCER CELL BIOLOGY,SCRB,nih,2020,81354
Albany,REGENERATIVE AND CANCER CELL BIOLOGY,SCRB,nih,2019,2493929
Albany,REGENERATIVE AND CANCER CELL BIOLOGY,SCRB,nih,2018,1354401
Albany,REGENERATIVE AND CANCER CELL BIOLOGY,SCRB,nih,2017,1863662
Albany,REGENERATIVE AND CANCER CELL BIOLOGY,SCRB,nih,2016,2016539
Harvard,STEM CELL AND REGENERATIVE BIOLOGY,SCRB,nih,2020,16116891
Harvard,STEM CELL AND REGENERATIVE BIOLOGY,SCRB,nih,2019,15258115
Harvard,STEM CELL AND REGENERATIVE BIOLOGY,SCRB,nih,2018,14087620
Harvard,STEM CELL AND REGENERATIVE BIOLOGY,SCRB,nih,2017,13844286
Harvard,STEM CELL AND REGENERATIVE BIOLOGY,SCRB,nih,2016,13345662
Illinois,PHARMACOLOGY AND REGENERATIVE MEDICINE,SCRB,nih,2020,0
Illinois,PHARMACOLOGY AND REGENERATIVE MEDICINE,SCRB,nih,2019,0
Illinois,PHARMACOLOGY AND REGENERATIVE MEDICINE,SCRB,nih,2018,0
Illinois,PHARMACOLOGY AND REGENERATIVE MEDICINE,SCRB,nih,2017,0
Illinois,PHARMACOLOGY AND REGENERATIVE MEDICINE,SCRB,nih,2016,0
Mount Sinai-Icahn,CELL DEVELOPMENTAL AND REGENERATIVE BIOLOGY,CB;SCRB,nih,2020,12602947
Mount Sinai-Icahn,CELL DEVELOPMENTAL AND REGENERATIVE BIOLOGY,CB;SCRB,nih,2019,15541188
Mount Sinai-Icahn,CELL DEVELOPMENTAL AND REGENERATIVE BIOLOGY,CB;SCRB,nih,2018,16219804
Mount Sinai-Icahn,CELL DEVELOPMENTAL AND REGENERATIVE BIOLOGY,CB;SCRB,nih,2017,11176811
Mount Sinai-Icahn,CELL DEVELOPMENTAL AND REGENERATIVE BIOLOGY,CB;SCRB,nih,2016,0
MU South Carolina,REGENERATIVE MEDICINE AND CELL BIOLOLGY,CB;SCRB,nih,2020,5392619
MU South Carolina,REGENERATIVE MEDICINE AND CELL BIOLOLGY,CB;SCRB,nih,2019,2295515
MU South Carolina,REGENERATIVE MEDICINE AND CELL BIOLOLGY,CB;SCRB,nih,2018,879050
MU South Carolina,REGENERATIVE MEDICINE AND CELL BIOLOLGY,CB;SCRB,nih,2017,1649984
MU South Carolina,REGENERATIVE MEDICINE AND CELL BIOLOLGY,CB;SCRB,nih,2016,0
Southern Cal-Keck,STEM CELL BIOLOGY AND REGENERATIVE MEDICINE,SCRB,nih,2020,0
Southern Cal-Keck,STEM CELL BIOLOGY AND REGENERATIVE MEDICINE,SCRB,nih,2019,141176
Southern Cal-Keck,STEM CELL BIOLOGY AND REGENERATIVE MEDICINE,SCRB,nih,2018,0
Southern Cal-Keck,STEM CELL BIOLOGY AND REGENERATIVE MEDICINE,SCRB,nih,2017,0
Southern Cal-Keck,STEM CELL BIOLOGY AND REGENERATIVE MEDICINE,SCRB,nih,2016,1810561
Wisconsin,CELL AND REGENERATIVE BIOLOGY,SCRB;CB,nih,2020,5702619
Wisconsin,CELL AND REGENERATIVE BIOLOGY,SCRB;CB,nih,2019,5483967
Wisconsin,CELL AND REGENERATIVE BIOLOGY,SCRB;CB,nih,2018,4610612
Wisconsin,CELL AND REGENERATIVE BIOLOGY,SCRB;CB,nih,2017,2826050
Wisconsin,CELL AND REGENERATIVE BIOLOGY,SCRB;CB,nih,2016,3071266
Average,Average,SCRB,nih,2016,2892004
Average,Average,SCRB,nih,2017,4480113
Average,Average,SCRB,nih,2018,5307355
Average,Average,SCRB,nih,2019,5887699
Average,Average,SCRB,nih,2020,5699490
